x ind,t ind,y,t,x
2,66,-4.929010712,260,0.1
3,66,-4.669698959,260,0.2
4,66,-4.121796689,260,0.3
5,66,-2.325748676,260,0.4
6,66,2.309494181,260,0.5
7,66,5.105880262,260,0.6
8,66,6.906267073,260,0.7
9,66,8.214140791,260,0.8
10,66,9.189177514,260,0.9
11,66,10,260,1
1,67,-4.999938922,264,0
2,67,-4.930757508,264,0.1
3,67,-4.755964126,264,0.2
4,67,-4.176682992,264,0.3
5,67,-2.755552431,264,0.4
6,67,1.942563446,264,0.5
7,67,4.907135722,264,0.6
8,67,6.807989604,264,0.7
9,67,8.147725546,264,0.8
10,67,9.156409736,264,0.9
11,67,10,264,1
1,68,-4.999949392,268,0
2,68,-4.948061289,268,0.1
3,68,-4.772216864,268,0.2
4,68,-4.330050023,268,0.3
5,68,-2.890015446,268,0.4
6,68,1.596647203,268,0.5
7,68,4.694878315,268,0.6
8,68,6.696022527,268,0.7
9,68,8.081666533,268,0.8
10,68,9.123466422,268,0.9
11,68,10,268,1
1,69,-4.999958068,272,0
2,69,-4.952111245,272,0.1
3,69,-4.816622567,272,0.2
4,69,-4.376221541,272,0.3
5,69,-3.080931472,272,0.4
6,69,1.319595607,272,0.5
7,69,4.47596246,272,0.6
8,69,6.573203857,272,0.7
9,69,8.013054896,272,0.8
10,69,9.09048871,272,0.9
11,69,10,272,1
1,70,-4.999965256,276,0
2,70,-4.961165622,276,0.1
3,70,-4.830940862,276,0.2
4,70,-4.449943862,276,0.3
5,70,-3.17985652,276,0.4
6,70,1.071332321,276,0.5
7,70,4.264621541,276,0.6
8,70,6.442026307,276,0.7
9,70,7.940737127,276,0.8
10,70,9.05698097,276,0.9
11,70,10,276,1
1,71,-4.999971212,280,0
2,71,-4.964446211,280,0.1
3,71,-4.853142308,280,0.2
4,71,-4.4838876,280,0.3
5,71,-3.289570891,280,0.4
6,71,0.860236008,280,0.5
7,71,4.061909054,280,0.6
8,71,6.306597778,280,0.7
9,71,7.864418574,280,0.8
10,71,9.022415196,280,0.9
11,71,10,280,1
1,72,-4.999976147,284,0
2,72,-4.969032313,284,0.1
3,72,-4.863415112,284,0.2
4,72,-4.524093783,284,0.3
5,72,-3.362362597,284,0.4
6,72,0.67104267,284,0.5
7,72,3.870949668,284,0.6
8,72,6.169538189,284,0.7
9,72,7.784636516,284,0.8
10,72,8.986415306,284,0.9
11,72,10,284,1
1,73,-4.999980236,288,0
2,73,-4.971297647,288,0.1
3,73,-4.87537151,288,0.2
4,73,-4.548223854,288,0.3
5,73,-3.433802623,288,0.4
6,73,0.504724044,288,0.5
7,73,3.691098004,288,0.6
8,73,6.033152603,288,0.7
9,73,7.702161555,288,0.8
10,73,8.948862519,288,0.9
11,73,10,288,1
1,74,-4.999983624,292,0
2,74,-4.973791139,292,0.1
3,74,-4.882447247,292,0.2
4,74,-4.572611861,292,0.3
5,74,-3.488489773,292,0.4
6,74,0.354637344,292,0.5
7,74,3.522620106,292,0.6
8,74,5.898851151,292,0.7
9,74,7.617893012,292,0.8
10,74,8.909839222,292,0.9
11,74,10,292,1
1,75,-4.999986431,296,0
2,75,-4.975320735,296,0.1
3,75,-4.889521201,296,0.2
4,75,-4.589987447,296,0.3
5,75,-3.539359012,296,0.4
6,75,0.21991711,296,0.5
7,75,3.364631707,296,0.6
8,75,5.767713744,296,0.7
9,75,7.532669126,296,0.8
10,75,8.869574381,296,0.9
11,75,10,296,1
1,76,-4.999988757,300,0
2,76,-4.976805033,300,0.1
3,76,-4.894468743,300,0.2
4,76,-4.606276079,300,0.3
5,76,-3.581696334,300,0.4
6,76,0.097285748,300,0.5
7,76,3.216644227,300,0.6
8,76,5.640380128,300,0.7
9,76,7.44725478,300,0.8
10,76,8.828372844,300,0.9
11,76,10,300,1
1,77,-4.999990684,304,0
2,77,-4.977862566,304,0.1
3,77,-4.899067043,304,0.2
4,77,-4.619208118,304,0.3
5,77,-3.620407603,304,0.4
6,77,-0.014383145,304,0.5
7,77,3.07783771,304,0.6
8,77,5.517289872,304,0.7
9,77,7.362298094,304,0.8
10,77,8.78657043,304,0.9
11,77,10,304,1
1,78,-4.999992281,308,0
2,78,-4.978830406,308,0.1
3,78,-4.902657531,308,0.2
4,78,-4.630998199,308,0.3
5,78,-3.65423214,308,0.4
6,78,-2.117325295,308,0.5
7,78,2.94758238,308,0.6
8,78,5.39867283,308,0.7
9,78,7.278343253,308,0.8
10,78,8.744498262,308,0.9
11,78,10,308,1
1,79,-4.999993604,312,0
2,79,-4.979592753,312,0.1
3,79,-4.905905963,312,0.2
4,79,-4.641000262,312,0.3
5,79,-4.084314041,312,0.4
6,79,-2.265926024,312,0.5
7,79,2.426013823,312,0.6
8,79,5.284650045,312,0.7
9,79,7.195829206,312,0.8
10,79,8.702463907,312,0.9
11,79,10,312,1
1,80,-4.999994701,316,0
2,80,-4.980277151,316,0.1
3,80,-4.908626816,316,0.2
4,80,-4.729732089,316,0.3
5,80,-4.141368165,316,0.4
6,80,-2.701267046,316,0.5
7,80,2.06019118,316,0.6
8,80,5.095591756,316,0.7
9,80,7.115105249,316,0.8
10,80,8.660739773,316,0.9
11,80,10,316,1
1,81,-4.999995609,320,0
