,after,after_and_js_jannies,age,artistname,available,collected_at,date,is_free_market,is_jannies,left_days,name,price_per_deal,price_per_unit,unit
143,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,18000,9000.0,2
144,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,23000,23000.0,1
145,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,28000,14000.0,2
146,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,29800,29800.0,1
147,1,1,25.0,坂本冬美,0,,,1,1,27,第19回 虹の架け橋 まごころ募金コンサート 新しい時代へ！歌い継ぐ日本の名曲,34800,34800.0,1
148,0,0,,演歌,1,2019-05-17,2019-05-23,0,0,6,,12000,6000.0,2
149,0,0,,演歌,1,2019-05-17,2019-07-13,0,0,57,,21000,21000.0,1
150,0,0,,演歌,1,2019-05-17,2019-05-24,0,0,7,,1300,1300.0,1
151,0,0,,演歌,1,2019-05-17,2019-06-08,0,0,22,,5000,2500.0,2
152,0,0,,演歌,1,2019-05-17,2019-05-19,0,0,2,,16000,16000.0,1
153,0,0,,演歌,1,2019-05-17,2019-05-26,0,0,9,,16000,16000.0,1
154,0,0,,演歌,1,2019-05-17,2019-05-17,0,0,0,,16000,16000.0,1
155,0,0,,演歌,1,2019-05-17,2019-06-14,0,0,28,,1100,1100.0,1
156,0,0,,演歌,1,2019-05-17,2019-07-22,0,0,66,,15000,15000.0,1
157,0,0,,演歌,1,2019-05-17,2019-05-25,0,0,8,,20000,10000.0,2
158,0,0,,演歌,1,2019-05-17,2019-05-25,0,0,8,,5000,5000.0,1
159,0,0,,演歌,1,2019-05-17,2019-05-26,0,0,9,,30000,30000.0,1
160,0,0,,演歌,1,2019-05-17,2019-05-24,0,0,7,,16000,16000.0,1
161,0,0,,演歌,1,2019-05-17,2019-05-23,0,0,6,,30000,15000.0,2
162,0,0,,演歌,1,2019-05-17,2019-05-22,0,0,5,,21000,21000.0,1
163,0,0,,演歌,1,2019-05-17,2019-05-28,0,0,11,,1300,1300.0,1
164,0,0,,演歌,1,2019-05-17,2019-05-26,0,0,9,,17000,17000.0,1
165,0,0,,演歌,1,2019-05-17,2019-05-26,0,0,9,,15000,15000.0,1
166,0,0,,演歌,1,2019-05-17,2019-05-19,0,0,2,,100,100.0,1
167,0,0,,演歌,1,2019-05-17,2019-05-19,0,0,2,,22000,22000.0,1
168,0,0,,演歌,1,2019-05-17,2019-05-25,0,0,8,,10000,10000.0,1
169,0,0,,演歌,1,2019-05-17,2019-05-18,0,0,1,,3000,1500.0,2
170,0,0,,演歌,1,2019-05-17,2019-05-23,0,0,6,,26000,26000.0,1
171,0,0,,演歌,1,2019-05-17,2019-05-25,0,0,8,,8000,8000.0,1
172,0,0,,演歌,1,2019-05-17,2019-05-20,0,0,3,,1000,1000.0,1
173,0,0,,演歌,1,2019-05-17,2019-07-10,0,0,54,,13648,6824.0,2
174,0,0,,演歌,1,2019-05-17,2019-06-13,0,0,27,,100,100.0,1
175,0,0,,演歌,1,2019-05-17,2019-05-18,0,0,1,,1000,1000.0,1
176,0,0,,演歌,1,2019-05-17,2019-05-24,0,0,7,,4500,4500.0,1
177,0,0,,演歌,1,2019-05-17,2019-05-21,0,0,4,,3000,3000.0,1
178,0,0,,演歌,1,2019-05-17,2019-06-03,0,0,17,,3900,3900.0,1
179,0,0,,演歌,1,2019-05-17,2019-05-18,0,0,1,,1000,1000.0,1
180,0,0,,演歌,1,2019-05-17,2019-06-21,0,0,35,,300,300.0,1
181,0,0,,演歌,1,2019-05-17,2019-05-28,0,0,11,,9000,4500.0,2
182,0,0,,演歌,1,2019-05-17,2019-06-03,0,0,17,,618,618.0,1
183,0,0,,演歌,1,2019-05-17,2019-05-18,0,0,1,,5400,5400.0,1
184,0,0,,演歌,1,2019-05-17,2019-06-23,0,0,37,,12000,12000.0,1
185,0,0,,演歌,1,2019-05-17,2019-05-19,0,0,2,,800,800.0,1
186,0,0,,演歌,1,2019-05-17,2019-05-22,0,0,5,,3000,60.0,50
187,0,0,,演歌,1,2019-05-18,2019-05-25,0,0,7,,5000,5000.0,1
188,0,0,,演歌,1,2019-05-18,2019-05-23,0,0,5,,12000,6000.0,2
189,0,0,,演歌,1,2019-05-18,2019-07-13,0,0,56,,21000,21000.0,1
190,0,0,,演歌,1,2019-05-18,2019-05-24,0,0,6,,1700,1700.0,1
191,0,0,,演歌,1,2019-05-18,2019-06-22,0,0,35,,5000,5000.0,1
192,0,0,,演歌,1,2019-05-18,2019-06-08,0,0,21,,5250,2625.0,2
193,0,0,,演歌,1,2019-05-18,2019-06-14,0,0,27,,1300,1300.0,1
194,0,0,,演歌,1,2019-05-18,2019-05-26,0,0,8,,16000,16000.0,1
195,0,0,,演歌,1,2019-05-18,2019-05-19,0,0,1,,16000,16000.0,1
196,0,0,,演歌,1,2019-05-18,2019-05-24,0,0,6,,16000,16000.0,1
197,0,0,,演歌,1,2019-05-18,2019-05-25,0,0,7,,20000,10000.0,2
198,0,0,,演歌,1,2019-05-18,2019-05-26,0,0,8,,30000,30000.0,1
199,0,0,,演歌,1,2019-05-18,2019-07-22,0,0,65,,15000,15000.0,1
200,0,0,,演歌,1,2019-05-18,2019-05-22,0,0,4,,10000,5000.0,2
201,0,0,,演歌,1,2019-05-18,2019-05-26,0,0,8,,15000,15000.0,1
202,0,0,,演歌,1,2019-05-18,2019-05-28,0,0,10,,1300,1300.0,1
203,0,0,,演歌,1,2019-05-18,2019-05-26,0,0,8,,17000,17000.0,1
204,0,0,,演歌,1,2019-05-18,2019-05-19,0,0,1,,22000,22000.0,1
205,0,0,,演歌,1,2019-05-18,2019-05-23,0,0,5,,30000,15000.0,2
206,0,0,,演歌,1,2019-05-18,2019-05-19,0,0,1,,100,100.0,1
207,0,0,,演歌,1,2019-05-18,2019-05-25,0,0,7,,10000,10000.0,1
208,0,0,,演歌,1,2019-05-18,2019-05-23,0,0,5,,26000,26000.0,1
209,0,0,,演歌,1,2019-05-18,2019-05-19,0,0,1,,3000,1500.0,2
210,0,0,,演歌,1,2019-05-18,2019-05-25,0,0,7,,8000,8000.0,1
211,0,0,,演歌,1,2019-05-18,2019-05-20,0,0,2,,1000,1000.0,1
212,0,0,,演歌,1,2019-05-18,2019-05-24,0,0,6,,4500,4500.0,1
213,0,0,,演歌,1,2019-05-18,2019-07-10,0,0,53,,13648,6824.0,2
214,0,0,,演歌,1,2019-05-18,2019-05-21,0,0,3,,3000,3000.0,1
215,0,0,,演歌,1,2019-05-18,2019-06-03,0,0,16,,3900,3900.0,1
216,0,0,,演歌,1,2019-05-18,2019-06-13,0,0,26,,100,100.0,1
217,0,0,,演歌,1,2019-05-18,2019-05-19,0,0,1,,1000,1000.0,1
218,0,0,,演歌,1,2019-05-18,2019-05-28,0,0,10,,9000,4500.0,2
219,0,0,,演歌,1,2019-05-18,2019-06-21,0,0,34,,300,300.0,1
220,0,0,,演歌,1,2019-05-18,2019-05-18,0,0,0,,200,200.0,1
221,0,0,,演歌,1,2019-05-18,2019-05-19,0,0,1,,5400,5400.0,1
222,0,0,,演歌,1,2019-05-18,2019-06-03,0,0,16,,618,618.0,1
223,0,0,,演歌,1,2019-05-18,2019-05-19,0,0,1,,800,800.0,1
