name,collected_at,left_days,price_per_unit,is_jannies,after,after_and_is_jannies
HAMLET ハムレット,2019-06-13,114,25900.0,1,0,0
HAMLET ハムレット,2019-06-13,115,75400.0,1,0,0
HAMLET ハムレット,2019-06-13,118,40083.333333333336,1,0,0
HAMLET ハムレット,2019-06-13,120,29916.666666666668,1,0,0
HAMLET ハムレット,2019-06-14,86,64458.333333333336,1,1,1
HAMLET ハムレット,2019-06-14,87,56000.0,1,1,1
HAMLET ハムレット,2019-06-14,88,45900.0,1,1,1
HAMLET ハムレット,2019-06-14,89,55000.0,1,1,1
HAMLET ハムレット,2019-06-14,91,62000.0,1,1,1
HAMLET ハムレット,2019-06-14,92,41500.0,1,1,1
HAMLET ハムレット,2019-06-14,94,29500.0,1,1,1
HAMLET ハムレット,2019-06-14,95,23125.0,1,1,1
HAMLET ハムレット,2019-06-14,96,37250.0,1,1,1
HAMLET ハムレット,2019-06-14,98,38250.0,1,1,1
HAMLET ハムレット,2019-06-14,99,30638.833333333332,1,1,1
HAMLET ハムレット,2019-06-14,102,27947.61904761905,1,1,1
HAMLET ハムレット,2019-06-14,103,47666.666666666664,1,1,1
HAMLET ハムレット,2019-06-14,106,32928.57142857143,1,1,1
HAMLET ハムレット,2019-06-14,107,27500.0,1,1,1
HAMLET ハムレット,2019-06-14,108,25000.0,1,1,1
HAMLET ハムレット,2019-06-14,109,34480.0,1,1,1
HAMLET ハムレット,2019-06-14,110,50000.0,1,1,1
HAMLET ハムレット,2019-06-14,112,19500.0,1,1,1
HAMLET ハムレット,2019-06-14,113,25900.0,1,1,1
HAMLET ハムレット,2019-06-14,114,75400.0,1,1,1
HAMLET ハムレット,2019-06-14,117,40083.333333333336,1,1,1
HAMLET ハムレット,2019-06-14,119,27608.333333333332,1,1,1
HAMLET ハムレット,2019-06-14,120,24500.0,1,1,1
HAMLET ハムレット,2019-06-15,85,65541.66666666667,1,1,1
HAMLET ハムレット,2019-06-15,86,56000.0,1,1,1
HAMLET ハムレット,2019-06-15,87,37000.0,1,1,1
HAMLET ハムレット,2019-06-15,88,55000.0,1,1,1
HAMLET ハムレット,2019-06-15,90,62000.0,1,1,1
HAMLET ハムレット,2019-06-15,91,43100.0,1,1,1
HAMLET ハムレット,2019-06-15,93,29750.0,1,1,1
HAMLET ハムレット,2019-06-15,94,23125.0,1,1,1
HAMLET ハムレット,2019-06-15,95,34166.666666666664,1,1,1
HAMLET ハムレット,2019-06-15,97,37000.0,1,1,1
HAMLET ハムレット,2019-06-15,98,30433.277777777777,1,1,1
HAMLET ハムレット,2019-06-15,101,26454.166666666668,1,1,1
HAMLET ハムレット,2019-06-15,102,47000.0,1,1,1
HAMLET ハムレット,2019-06-15,105,32928.57142857143,1,1,1
HAMLET ハムレット,2019-06-15,106,25000.0,1,1,1
HAMLET ハムレット,2019-06-15,107,25000.0,1,1,1
HAMLET ハムレット,2019-06-15,108,32600.0,1,1,1
HAMLET ハムレット,2019-06-15,109,48000.0,1,1,1
HAMLET ハムレット,2019-06-15,111,19500.0,1,1,1
HAMLET ハムレット,2019-06-15,112,25900.0,1,1,1
HAMLET ハムレット,2019-06-15,113,53300.0,1,1,1
HAMLET ハムレット,2019-06-15,116,37000.0,1,1,1
HAMLET ハムレット,2019-06-15,118,28197.916666666664,1,1,1
HAMLET ハムレット,2019-06-15,119,48437.5,1,1,1
HAMLET ハムレット,2019-06-16,84,59464.28571428572,1,1,1
HAMLET ハムレット,2019-06-16,85,60000.0,1,1,1
HAMLET ハムレット,2019-06-16,86,35333.333333333336,1,1,1
HAMLET ハムレット,2019-06-16,87,55000.0,1,1,1
HAMLET ハムレット,2019-06-16,89,62000.0,1,1,1
HAMLET ハムレット,2019-06-16,90,43100.0,1,1,1
HAMLET ハムレット,2019-06-16,92,29000.0,1,1,1
HAMLET ハムレット,2019-06-16,93,22500.0,1,1,1
HAMLET ハムレット,2019-06-16,94,34375.0,1,1,1
HAMLET ハムレット,2019-06-16,96,37000.0,1,1,1
HAMLET ハムレット,2019-06-16,97,31389.95,1,1,1
HAMLET ハムレット,2019-06-16,100,26454.166666666668,1,1,1
HAMLET ハムレット,2019-06-16,101,47666.666666666664,1,1,1
HAMLET ハムレット,2019-06-16,104,32928.57142857143,1,1,1
HAMLET ハムレット,2019-06-16,105,25000.0,1,1,1
HAMLET ハムレット,2019-06-16,106,25000.0,1,1,1
HAMLET ハムレット,2019-06-16,107,32600.0,1,1,1
HAMLET ハムレット,2019-06-16,108,44000.0,1,1,1
HAMLET ハムレット,2019-06-16,110,19000.0,1,1,1
HAMLET ハムレット,2019-06-16,111,25900.0,1,1,1
HAMLET ハムレット,2019-06-16,112,53300.0,1,1,1
HAMLET ハムレット,2019-06-16,115,34375.0,1,1,1
HAMLET ハムレット,2019-06-16,117,28197.916666666664,1,1,1
HAMLET ハムレット,2019-06-16,118,42916.666666666664,1,1,1
HAMLET ハムレット,2019-06-17,83,63281.25,1,1,1
HAMLET ハムレット,2019-06-17,84,60000.0,1,1,1
HAMLET ハムレット,2019-06-17,85,35333.333333333336,1,1,1
HAMLET ハムレット,2019-06-17,86,55000.0,1,1,1
HAMLET ハムレット,2019-06-17,88,62000.0,1,1,1
HAMLET ハムレット,2019-06-17,89,48875.0,1,1,1
HAMLET ハムレット,2019-06-17,91,29000.0,1,1,1
HAMLET ハムレット,2019-06-17,92,22500.0,1,1,1
HAMLET ハムレット,2019-06-17,93,34375.0,1,1,1
HAMLET ハムレット,2019-06-17,95,37000.0,1,1,1
HAMLET ハムレット,2019-06-17,96,34128.57142857143,1,1,1
HAMLET ハムレット,2019-06-17,99,26354.166666666668,1,1,1
HAMLET ハムレット,2019-06-17,100,47666.666666666664,1,1,1
HAMLET ハムレット,2019-06-17,103,32928.57142857143,1,1,1
HAMLET ハムレット,2019-06-17,104,25000.0,1,1,1
HAMLET ハムレット,2019-06-17,105,25000.0,1,1,1
HAMLET ハムレット,2019-06-17,106,32600.0,1,1,1
HAMLET ハムレット,2019-06-17,107,44000.0,1,1,1
HAMLET ハムレット,2019-06-17,109,39500.0,1,1,1
HAMLET ハムレット,2019-06-17,110,25900.0,1,1,1
HAMLET ハムレット,2019-06-17,111,52950.0,1,1,1
HAMLET ハムレット,2019-06-17,114,34375.0,1,1,1
HAMLET ハムレット,2019-06-17,116,29690.47619047619,1,1,1
HAMLET ハムレット,2019-06-17,117,43383.333333333336,1,1,1
HAMLET ハムレット,2019-06-17,118,39000.0,1,1,1
HAMLET ハムレット,2019-06-18,82,63142.25,1,1,1
HAMLET ハムレット,2019-06-18,83,60000.0,1,1,1
HAMLET ハムレット,2019-06-18,84,36500.0,1,1,1
HAMLET ハムレット,2019-06-18,85,55000.0,1,1,1
HAMLET ハムレット,2019-06-18,87,62000.0,1,1,1
HAMLET ハムレット,2019-06-18,88,48875.0,1,1,1
HAMLET ハムレット,2019-06-18,90,26000.0,1,1,1
HAMLET ハムレット,2019-06-18,91,22500.0,1,1,1
HAMLET ハムレット,2019-06-18,92,34375.0,1,1,1
HAMLET ハムレット,2019-06-18,94,37000.0,1,1,1
HAMLET ハムレット,2019-06-18,95,34128.57142857143,1,1,1
HAMLET ハムレット,2019-06-18,98,26229.166666666668,1,1,1
HAMLET ハムレット,2019-06-18,99,47666.666666666664,1,1,1
HAMLET ハムレット,2019-06-18,102,34666.666666666664,1,1,1
HAMLET ハムレット,2019-06-18,103,25000.0,1,1,1
HAMLET ハムレット,2019-06-18,104,25000.0,1,1,1
HAMLET ハムレット,2019-06-18,105,32600.0,1,1,1
HAMLET ハムレット,2019-06-18,106,44000.0,1,1,1
HAMLET ハムレット,2019-06-18,108,39500.0,1,1,1
HAMLET ハムレット,2019-06-18,109,25900.0,1,1,1
HAMLET ハムレット,2019-06-18,110,52950.0,1,1,1
HAMLET ハムレット,2019-06-18,113,34375.0,1,1,1
HAMLET ハムレット,2019-06-18,115,29690.47619047619,1,1,1
HAMLET ハムレット,2019-06-18,116,43383.333333333336,1,1,1
HAMLET ハムレット,2019-06-18,117,39500.0,1,1,1
HAMLET ハムレット,2019-06-19,81,60793.11111111111,1,1,1
HAMLET ハムレット,2019-06-19,82,60000.0,1,1,1
